date,funder,person,spend,impact
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Conservative Party,Ryan Stephenson for Batley & Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '8000', 'upper_bound': '8999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-22,The Conservative Party,Ryan Stephenson for Batley & Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '4000', 'upper_bound': '4999'}"
2021-06-22,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-22,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-22,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}"
2021-06-17,The Conservative Party,Ryan Stephenson for Batley & Spen,"{'lower_bound': '100', 'upper_bound': '199'}","{'lower_bound': '10000', 'upper_bound': '14999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '3000', 'upper_bound': '3999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
