areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
K02000001,United Kingdom,overview,05/06/2021,51.7
K02000001,United Kingdom,overview,04/06/2021,49.2
K02000001,United Kingdom,overview,03/06/2021,45.9
K02000001,United Kingdom,overview,02/06/2021,42.3
K02000001,United Kingdom,overview,01/06/2021,38.9
K02000001,United Kingdom,overview,31/05/2021,36
K02000001,United Kingdom,overview,30/05/2021,35.1
K02000001,United Kingdom,overview,29/05/2021,33.8
K02000001,United Kingdom,overview,28/05/2021,32.3
K02000001,United Kingdom,overview,27/05/2021,30.5
K02000001,United Kingdom,overview,26/05/2021,28.7
K02000001,United Kingdom,overview,25/05/2021,27.1
K02000001,United Kingdom,overview,24/05/2021,26.2
K02000001,United Kingdom,overview,23/05/2021,25.5
K02000001,United Kingdom,overview,22/05/2021,25
K02000001,United Kingdom,overview,21/05/2021,24.4
K02000001,United Kingdom,overview,20/05/2021,23.8
K02000001,United Kingdom,overview,19/05/2021,23.3
K02000001,United Kingdom,overview,18/05/2021,22.5
K02000001,United Kingdom,overview,17/05/2021,21.8
K02000001,United Kingdom,overview,16/05/2021,21.6
K02000001,United Kingdom,overview,15/05/2021,22.1
K02000001,United Kingdom,overview,14/05/2021,22
K02000001,United Kingdom,overview,13/05/2021,22
K02000001,United Kingdom,overview,12/05/2021,22.1
K02000001,United Kingdom,overview,11/05/2021,22.3
K02000001,United Kingdom,overview,10/05/2021,22.7
K02000001,United Kingdom,overview,09/05/2021,21.6
K02000001,United Kingdom,overview,08/05/2021,20.5
K02000001,United Kingdom,overview,07/05/2021,20.3
K02000001,United Kingdom,overview,06/05/2021,20.1
K02000001,United Kingdom,overview,05/05/2021,19.9
K02000001,United Kingdom,overview,04/05/2021,19.9
K02000001,United Kingdom,overview,03/05/2021,19.4
K02000001,United Kingdom,overview,02/05/2021,20.1
K02000001,United Kingdom,overview,01/05/2021,20.9
K02000001,United Kingdom,overview,30/04/2021,21.1
K02000001,United Kingdom,overview,29/04/2021,21.4
K02000001,United Kingdom,overview,28/04/2021,21.6
K02000001,United Kingdom,overview,27/04/2021,21.9
K02000001,United Kingdom,overview,26/04/2021,22.3
K02000001,United Kingdom,overview,25/04/2021,22.6
K02000001,United Kingdom,overview,24/04/2021,23.2
K02000001,United Kingdom,overview,23/04/2021,23.5
K02000001,United Kingdom,overview,22/04/2021,23.9
K02000001,United Kingdom,overview,21/04/2021,23.9
K02000001,United Kingdom,overview,20/04/2021,23.6
K02000001,United Kingdom,overview,19/04/2021,23.6
K02000001,United Kingdom,overview,18/04/2021,23.8
K02000001,United Kingdom,overview,17/04/2021,23.5
K02000001,United Kingdom,overview,16/04/2021,24.4
K02000001,United Kingdom,overview,15/04/2021,25.3
K02000001,United Kingdom,overview,14/04/2021,26.5
K02000001,United Kingdom,overview,13/04/2021,27.5
K02000001,United Kingdom,overview,12/04/2021,28.7
K02000001,United Kingdom,overview,11/04/2021,28.6
K02000001,United Kingdom,overview,10/04/2021,28.6
K02000001,United Kingdom,overview,09/04/2021,28.8
K02000001,United Kingdom,overview,08/04/2021,28.6
K02000001,United Kingdom,overview,07/04/2021,29.3
K02000001,United Kingdom,overview,06/04/2021,30.4
K02000001,United Kingdom,overview,05/04/2021,31.1
K02000001,United Kingdom,overview,04/04/2021,33.1
K02000001,United Kingdom,overview,03/04/2021,36.7
K02000001,United Kingdom,overview,02/04/2021,38.3
K02000001,United Kingdom,overview,01/04/2021,41
K02000001,United Kingdom,overview,31/03/2021,43.9
K02000001,United Kingdom,overview,30/03/2021,47.2
K02000001,United Kingdom,overview,29/03/2021,49.7
K02000001,United Kingdom,overview,28/03/2021,53
K02000001,United Kingdom,overview,27/03/2021,53.9
K02000001,United Kingdom,overview,26/03/2021,54.7
K02000001,United Kingdom,overview,25/03/2021,55.7
K02000001,United Kingdom,overview,24/03/2021,55.8
K02000001,United Kingdom,overview,23/03/2021,55.4
K02000001,United Kingdom,overview,22/03/2021,56.1
K02000001,United Kingdom,overview,21/03/2021,56.5
K02000001,United Kingdom,overview,20/03/2021,55.1
K02000001,United Kingdom,overview,19/03/2021,55.3
K02000001,United Kingdom,overview,18/03/2021,56.2
K02000001,United Kingdom,overview,17/03/2021,56.7
K02000001,United Kingdom,overview,16/03/2021,57
K02000001,United Kingdom,overview,15/03/2021,57.9
K02000001,United Kingdom,overview,14/03/2021,58.1
K02000001,United Kingdom,overview,13/03/2021,58
K02000001,United Kingdom,overview,12/03/2021,58.4
K02000001,United Kingdom,overview,11/03/2021,58
K02000001,United Kingdom,overview,10/03/2021,57.9
K02000001,United Kingdom,overview,09/03/2021,57.8
K02000001,United Kingdom,overview,08/03/2021,58.4
K02000001,United Kingdom,overview,07/03/2021,58.8
K02000001,United Kingdom,overview,06/03/2021,59.5
K02000001,United Kingdom,overview,05/03/2021,59.9
K02000001,United Kingdom,overview,04/03/2021,61.8
K02000001,United Kingdom,overview,03/03/2021,64.8
K02000001,United Kingdom,overview,02/03/2021,68.7
K02000001,United Kingdom,overview,01/03/2021,72.7
K02000001,United Kingdom,overview,28/02/2021,79.3
K02000001,United Kingdom,overview,27/02/2021,84
K02000001,United Kingdom,overview,26/02/2021,88.9
K02000001,United Kingdom,overview,25/02/2021,94.6
K02000001,United Kingdom,overview,24/02/2021,100.1
K02000001,United Kingdom,overview,23/02/2021,104.6
K02000001,United Kingdom,overview,22/02/2021,109.3
K02000001,United Kingdom,overview,21/02/2021,113.8
K02000001,United Kingdom,overview,20/02/2021,115.1
K02000001,United Kingdom,overview,19/02/2021,116.2
K02000001,United Kingdom,overview,18/02/2021,118.8
K02000001,United Kingdom,overview,17/02/2021,120.8
K02000001,United Kingdom,overview,16/02/2021,123.7
K02000001,United Kingdom,overview,15/02/2021,125.7
K02000001,United Kingdom,overview,14/02/2021,127.8
K02000001,United Kingdom,overview,13/02/2021,131.7
K02000001,United Kingdom,overview,12/02/2021,136.5
K02000001,United Kingdom,overview,11/02/2021,142
K02000001,United Kingdom,overview,10/02/2021,149.8
K02000001,United Kingdom,overview,09/02/2021,158.7
K02000001,United Kingdom,overview,08/02/2021,167.6
K02000001,United Kingdom,overview,07/02/2021,177.6
K02000001,United Kingdom,overview,06/02/2021,183.6
K02000001,United Kingdom,overview,05/02/2021,190.6
K02000001,United Kingdom,overview,04/02/2021,199.5
K02000001,United Kingdom,overview,03/02/2021,208.7
K02000001,United Kingdom,overview,02/02/2021,218.1
K02000001,United Kingdom,overview,01/02/2021,228.9
K02000001,United Kingdom,overview,31/01/2021,240.3
K02000001,United Kingdom,overview,30/01/2021,242.9
K02000001,United Kingdom,overview,29/01/2021,250.6
K02000001,United Kingdom,overview,28/01/2021,262.3
K02000001,United Kingdom,overview,27/01/2021,273.5
K02000001,United Kingdom,overview,26/01/2021,287.6
K02000001,United Kingdom,overview,25/01/2021,306.4
K02000001,United Kingdom,overview,24/01/2021,328.6
K02000001,United Kingdom,overview,23/01/2021,346.1
K02000001,United Kingdom,overview,22/01/2021,359.1
K02000001,United Kingdom,overview,21/01/2021,375.4
K02000001,United Kingdom,overview,20/01/2021,391.4
K02000001,United Kingdom,overview,19/01/2021,406.8
K02000001,United Kingdom,overview,18/01/2021,421.6
K02000001,United Kingdom,overview,17/01/2021,440.1
K02000001,United Kingdom,overview,16/01/2021,451.4
K02000001,United Kingdom,overview,15/01/2021,464.2
K02000001,United Kingdom,overview,14/01/2021,474
K02000001,United Kingdom,overview,13/01/2021,488.4
K02000001,United Kingdom,overview,12/01/2021,506.3
K02000001,United Kingdom,overview,11/01/2021,529.9
K02000001,United Kingdom,overview,10/01/2021,558.4
K02000001,United Kingdom,overview,09/01/2021,586.6
K02000001,United Kingdom,overview,08/01/2021,618.5
K02000001,United Kingdom,overview,07/01/2021,595.8
K02000001,United Kingdom,overview,06/01/2021,597.1
K02000001,United Kingdom,overview,05/01/2021,617.2
K02000001,United Kingdom,overview,04/01/2021,641.8
K02000001,United Kingdom,overview,03/01/2021,596
K02000001,United Kingdom,overview,02/01/2021,584.9
K02000001,United Kingdom,overview,01/01/2021,554.9
K02000001,United Kingdom,overview,31/12/2020,528.5
K02000001,United Kingdom,overview,30/12/2020,497.1
K02000001,United Kingdom,overview,29/12/2020,454.2
K02000001,United Kingdom,overview,28/12/2020,400.5
K02000001,United Kingdom,overview,27/12/2020,403.2
K02000001,United Kingdom,overview,26/12/2020,380.3
K02000001,United Kingdom,overview,25/12/2020,357.5
K02000001,United Kingdom,overview,24/12/2020,390
K02000001,United Kingdom,overview,23/12/2020,393.1
K02000001,United Kingdom,overview,22/12/2020,382.2
K02000001,United Kingdom,overview,21/12/2020,364.5
K02000001,United Kingdom,overview,20/12/2020,345.6
K02000001,United Kingdom,overview,19/12/2020,329.9
K02000001,United Kingdom,overview,18/12/2020,321.2
K02000001,United Kingdom,overview,17/12/2020,303.6
K02000001,United Kingdom,overview,16/12/2020,286.7
K02000001,United Kingdom,overview,15/12/2020,266.8
K02000001,United Kingdom,overview,14/12/2020,247.3
K02000001,United Kingdom,overview,13/12/2020,227.2
K02000001,United Kingdom,overview,12/12/2020,214.7
K02000001,United Kingdom,overview,11/12/2020,204.7
K02000001,United Kingdom,overview,10/12/2020,192.1
K02000001,United Kingdom,overview,09/12/2020,181.7
K02000001,United Kingdom,overview,08/12/2020,174
K02000001,United Kingdom,overview,07/12/2020,167.5
K02000001,United Kingdom,overview,06/12/2020,162.5
K02000001,United Kingdom,overview,05/12/2020,158.2
K02000001,United Kingdom,overview,04/12/2020,155.5
K02000001,United Kingdom,overview,03/12/2020,153.6
K02000001,United Kingdom,overview,02/12/2020,152
K02000001,United Kingdom,overview,01/12/2020,152.3
K02000001,United Kingdom,overview,30/11/2020,152.2
K02000001,United Kingdom,overview,29/11/2020,153.4
K02000001,United Kingdom,overview,28/11/2020,155
K02000001,United Kingdom,overview,27/11/2020,157
K02000001,United Kingdom,overview,26/11/2020,160.7
K02000001,United Kingdom,overview,25/11/2020,165.5
K02000001,United Kingdom,overview,24/11/2020,171.7
K02000001,United Kingdom,overview,23/11/2020,181.7
K02000001,United Kingdom,overview,22/11/2020,193.4
K02000001,United Kingdom,overview,21/11/2020,199.8
K02000001,United Kingdom,overview,20/11/2020,208.3
K02000001,United Kingdom,overview,19/11/2020,219.1
K02000001,United Kingdom,overview,18/11/2020,229.1
K02000001,United Kingdom,overview,17/11/2020,239
K02000001,United Kingdom,overview,16/11/2020,245.4
K02000001,United Kingdom,overview,15/11/2020,252.1
K02000001,United Kingdom,overview,14/11/2020,258
K02000001,United Kingdom,overview,13/11/2020,258.7
K02000001,United Kingdom,overview,12/11/2020,257.7
K02000001,United Kingdom,overview,11/11/2020,256.6
K02000001,United Kingdom,overview,10/11/2020,251.1
K02000001,United Kingdom,overview,09/11/2020,248.4
K02000001,United Kingdom,overview,08/11/2020,249
K02000001,United Kingdom,overview,07/11/2020,242.8
K02000001,United Kingdom,overview,06/11/2020,239.7
K02000001,United Kingdom,overview,05/11/2020,238.7
K02000001,United Kingdom,overview,04/11/2020,238.1
K02000001,United Kingdom,overview,03/11/2020,238
K02000001,United Kingdom,overview,02/11/2020,235.8
K02000001,United Kingdom,overview,01/11/2020,228.3
K02000001,United Kingdom,overview,31/10/2020,228.3
K02000001,United Kingdom,overview,30/10/2020,227.9
K02000001,United Kingdom,overview,29/10/2020,226.1
K02000001,United Kingdom,overview,28/10/2020,226
K02000001,United Kingdom,overview,27/10/2020,228.7
K02000001,United Kingdom,overview,26/10/2020,230.6
K02000001,United Kingdom,overview,25/10/2020,229.2
K02000001,United Kingdom,overview,24/10/2020,226.9
K02000001,United Kingdom,overview,23/10/2020,224.7
K02000001,United Kingdom,overview,22/10/2020,219
K02000001,United Kingdom,overview,21/10/2020,211.8
K02000001,United Kingdom,overview,20/10/2020,203.2
K02000001,United Kingdom,overview,19/10/2020,193.6
K02000001,United Kingdom,overview,18/10/2020,184.4
K02000001,United Kingdom,overview,17/10/2020,181.2
K02000001,United Kingdom,overview,16/10/2020,177.8
K02000001,United Kingdom,overview,15/10/2020,174.8
K02000001,United Kingdom,overview,14/10/2020,174.6
K02000001,United Kingdom,overview,13/10/2020,172.5
K02000001,United Kingdom,overview,12/10/2020,169.8
K02000001,United Kingdom,overview,11/10/2020,165.4
K02000001,United Kingdom,overview,10/10/2020,165
K02000001,United Kingdom,overview,09/10/2020,163.6
K02000001,United Kingdom,overview,08/10/2020,160.5
K02000001,United Kingdom,overview,07/10/2020,152.9
K02000001,United Kingdom,overview,06/10/2020,144.3
K02000001,United Kingdom,overview,05/10/2020,134.1
K02000001,United Kingdom,overview,04/10/2020,124.2
K02000001,United Kingdom,overview,03/10/2020,116.9
K02000001,United Kingdom,overview,02/10/2020,109.8
K02000001,United Kingdom,overview,01/10/2020,100.1
K02000001,United Kingdom,overview,30/09/2020,91.8
K02000001,United Kingdom,overview,29/09/2020,83.5
K02000001,United Kingdom,overview,28/09/2020,77.8
K02000001,United Kingdom,overview,27/09/2020,71.3
K02000001,United Kingdom,overview,26/09/2020,68.8
K02000001,United Kingdom,overview,25/09/2020,66
K02000001,United Kingdom,overview,24/09/2020,62.6
K02000001,United Kingdom,overview,23/09/2020,58.1
K02000001,United Kingdom,overview,22/09/2020,54.1
K02000001,United Kingdom,overview,21/09/2020,49.8
K02000001,United Kingdom,overview,20/09/2020,46.5
K02000001,United Kingdom,overview,19/09/2020,41.7
K02000001,United Kingdom,overview,18/09/2020,38.5
K02000001,United Kingdom,overview,17/09/2020,36
K02000001,United Kingdom,overview,16/09/2020,34.4
K02000001,United Kingdom,overview,15/09/2020,32.9
K02000001,United Kingdom,overview,14/09/2020,32.5
K02000001,United Kingdom,overview,13/09/2020,33.2
K02000001,United Kingdom,overview,12/09/2020,33.7
K02000001,United Kingdom,overview,11/09/2020,33.5
K02000001,United Kingdom,overview,10/09/2020,33.1
K02000001,United Kingdom,overview,09/09/2020,32.4
K02000001,United Kingdom,overview,08/09/2020,31.9
K02000001,United Kingdom,overview,07/09/2020,30.3
K02000001,United Kingdom,overview,06/09/2020,26.8
K02000001,United Kingdom,overview,05/09/2020,24.8
K02000001,United Kingdom,overview,04/09/2020,22.8
K02000001,United Kingdom,overview,03/09/2020,20.7
K02000001,United Kingdom,overview,02/09/2020,18.4
K02000001,United Kingdom,overview,01/09/2020,16
K02000001,United Kingdom,overview,31/08/2020,14.5
K02000001,United Kingdom,overview,30/08/2020,14.1
K02000001,United Kingdom,overview,29/08/2020,13.6
K02000001,United Kingdom,overview,28/08/2020,13
K02000001,United Kingdom,overview,27/08/2020,12.4
K02000001,United Kingdom,overview,26/08/2020,12.3
K02000001,United Kingdom,overview,25/08/2020,12.1
K02000001,United Kingdom,overview,24/08/2020,11.8
K02000001,United Kingdom,overview,23/08/2020,11.9
K02000001,United Kingdom,overview,22/08/2020,11.5
K02000001,United Kingdom,overview,21/08/2020,11.3
K02000001,United Kingdom,overview,20/08/2020,11.3
K02000001,United Kingdom,overview,19/08/2020,10.8
K02000001,United Kingdom,overview,18/08/2020,10.7
K02000001,United Kingdom,overview,17/08/2020,11.1
K02000001,United Kingdom,overview,16/08/2020,11.4
K02000001,United Kingdom,overview,15/08/2020,11.4
K02000001,United Kingdom,overview,14/08/2020,11.4
K02000001,United Kingdom,overview,13/08/2020,11.1
K02000001,United Kingdom,overview,12/08/2020,11
K02000001,United Kingdom,overview,11/08/2020,10.8
K02000001,United Kingdom,overview,10/08/2020,10.3
K02000001,United Kingdom,overview,09/08/2020,9.7
K02000001,United Kingdom,overview,08/08/2020,9.6
K02000001,United Kingdom,overview,07/08/2020,9.3
K02000001,United Kingdom,overview,06/08/2020,8.9
K02000001,United Kingdom,overview,05/08/2020,8.7
K02000001,United Kingdom,overview,04/08/2020,8.7
K02000001,United Kingdom,overview,03/08/2020,8.4
K02000001,United Kingdom,overview,02/08/2020,8.1
K02000001,United Kingdom,overview,01/08/2020,8.1
K02000001,United Kingdom,overview,31/07/2020,8.1
K02000001,United Kingdom,overview,30/07/2020,8.3
K02000001,United Kingdom,overview,29/07/2020,8.1
K02000001,United Kingdom,overview,28/07/2020,7.7
K02000001,United Kingdom,overview,27/07/2020,7.6
K02000001,United Kingdom,overview,26/07/2020,7.5
K02000001,United Kingdom,overview,25/07/2020,7.4
K02000001,United Kingdom,overview,24/07/2020,7.3
K02000001,United Kingdom,overview,23/07/2020,7.1
K02000001,United Kingdom,overview,22/07/2020,6.9
K02000001,United Kingdom,overview,21/07/2020,6.9
K02000001,United Kingdom,overview,20/07/2020,6.7
K02000001,United Kingdom,overview,19/07/2020,6.6
K02000001,United Kingdom,overview,18/07/2020,6.5
K02000001,United Kingdom,overview,17/07/2020,6.4
K02000001,United Kingdom,overview,16/07/2020,6.4
K02000001,United Kingdom,overview,15/07/2020,6.4
K02000001,United Kingdom,overview,14/07/2020,6.3
K02000001,United Kingdom,overview,13/07/2020,6.2
K02000001,United Kingdom,overview,12/07/2020,6.2
K02000001,United Kingdom,overview,11/07/2020,6.4
K02000001,United Kingdom,overview,10/07/2020,6.4
K02000001,United Kingdom,overview,09/07/2020,6.4
K02000001,United Kingdom,overview,08/07/2020,6.2
K02000001,United Kingdom,overview,07/07/2020,6.2
K02000001,United Kingdom,overview,06/07/2020,6.2
K02000001,United Kingdom,overview,05/07/2020,6.2
K02000001,United Kingdom,overview,04/07/2020,6
K02000001,United Kingdom,overview,03/07/2020,6.4
K02000001,United Kingdom,overview,02/07/2020,6.6
K02000001,United Kingdom,overview,01/07/2020,6.7
K02000001,United Kingdom,overview,30/06/2020,6.9
K02000001,United Kingdom,overview,29/06/2020,7.3
K02000001,United Kingdom,overview,28/06/2020,7.6
K02000001,United Kingdom,overview,27/06/2020,7.8
K02000001,United Kingdom,overview,26/06/2020,7.9
K02000001,United Kingdom,overview,25/06/2020,8.4
K02000001,United Kingdom,overview,24/06/2020,8.8
K02000001,United Kingdom,overview,23/06/2020,9.2
K02000001,United Kingdom,overview,22/06/2020,9.5
K02000001,United Kingdom,overview,21/06/2020,9.7
K02000001,United Kingdom,overview,20/06/2020,10
K02000001,United Kingdom,overview,19/06/2020,10.3
K02000001,United Kingdom,overview,18/06/2020,10.4
K02000001,United Kingdom,overview,17/06/2020,10.4
K02000001,United Kingdom,overview,16/06/2020,10.7
K02000001,United Kingdom,overview,15/06/2020,10.7
K02000001,United Kingdom,overview,14/06/2020,10.8
K02000001,United Kingdom,overview,13/06/2020,10.7
K02000001,United Kingdom,overview,12/06/2020,10.5
K02000001,United Kingdom,overview,11/06/2020,10.6
K02000001,United Kingdom,overview,10/06/2020,11
K02000001,United Kingdom,overview,09/06/2020,11.2
K02000001,United Kingdom,overview,08/06/2020,11.7
K02000001,United Kingdom,overview,07/06/2020,12.3
K02000001,United Kingdom,overview,06/06/2020,12.8
K02000001,United Kingdom,overview,05/06/2020,13.3
K02000001,United Kingdom,overview,04/06/2020,13.9
K02000001,United Kingdom,overview,03/06/2020,14.6
K02000001,United Kingdom,overview,02/06/2020,15.3
K02000001,United Kingdom,overview,01/06/2020,15.6
K02000001,United Kingdom,overview,31/05/2020,15.8
K02000001,United Kingdom,overview,30/05/2020,16.3
K02000001,United Kingdom,overview,29/05/2020,16.9
K02000001,United Kingdom,overview,28/05/2020,17.7
K02000001,United Kingdom,overview,27/05/2020,18.9
K02000001,United Kingdom,overview,26/05/2020,20.2
K02000001,United Kingdom,overview,25/05/2020,22.3
K02000001,United Kingdom,overview,24/05/2020,23.7
K02000001,United Kingdom,overview,23/05/2020,24.4
K02000001,United Kingdom,overview,22/05/2020,25.2
K02000001,United Kingdom,overview,21/05/2020,25.9
K02000001,United Kingdom,overview,20/05/2020,26
K02000001,United Kingdom,overview,19/05/2020,26.9
K02000001,United Kingdom,overview,18/05/2020,27.5
K02000001,United Kingdom,overview,17/05/2020,28.9
K02000001,United Kingdom,overview,16/05/2020,29.7
K02000001,United Kingdom,overview,15/05/2020,29.8
K02000001,United Kingdom,overview,14/05/2020,30.6
K02000001,United Kingdom,overview,13/05/2020,32.3
K02000001,United Kingdom,overview,12/05/2020,33.1
K02000001,United Kingdom,overview,11/05/2020,33.5
K02000001,United Kingdom,overview,10/05/2020,33.2
K02000001,United Kingdom,overview,09/05/2020,34.2
K02000001,United Kingdom,overview,08/05/2020,35.8
K02000001,United Kingdom,overview,07/05/2020,38.3
K02000001,United Kingdom,overview,06/05/2020,40.1
K02000001,United Kingdom,overview,05/05/2020,42.5
K02000001,United Kingdom,overview,04/05/2020,44
K02000001,United Kingdom,overview,03/05/2020,46
K02000001,United Kingdom,overview,02/05/2020,46.7
K02000001,United Kingdom,overview,01/05/2020,47.5
K02000001,United Kingdom,overview,30/04/2020,47.8
K02000001,United Kingdom,overview,29/04/2020,48.1
K02000001,United Kingdom,overview,28/04/2020,48.2
K02000001,United Kingdom,overview,27/04/2020,48.3
K02000001,United Kingdom,overview,26/04/2020,48.5
K02000001,United Kingdom,overview,25/04/2020,49.1
K02000001,United Kingdom,overview,24/04/2020,50.5
K02000001,United Kingdom,overview,23/04/2020,50.5
K02000001,United Kingdom,overview,22/04/2020,50.7
K02000001,United Kingdom,overview,21/04/2020,50
K02000001,United Kingdom,overview,20/04/2020,49.3
K02000001,United Kingdom,overview,19/04/2020,48.3
K02000001,United Kingdom,overview,18/04/2020,47.8
K02000001,United Kingdom,overview,17/04/2020,46.1
K02000001,United Kingdom,overview,16/04/2020,45.1
K02000001,United Kingdom,overview,15/04/2020,44.5
K02000001,United Kingdom,overview,14/04/2020,44.6
K02000001,United Kingdom,overview,13/04/2020,46.3
K02000001,United Kingdom,overview,12/04/2020,47.9
K02000001,United Kingdom,overview,11/04/2020,48.1
K02000001,United Kingdom,overview,10/04/2020,48.8
K02000001,United Kingdom,overview,09/04/2020,49.6
K02000001,United Kingdom,overview,08/04/2020,49.6
K02000001,United Kingdom,overview,07/04/2020,49.3
K02000001,United Kingdom,overview,06/04/2020,48
K02000001,United Kingdom,overview,05/04/2020,46.5
K02000001,United Kingdom,overview,04/04/2020,45.4
K02000001,United Kingdom,overview,03/04/2020,43.6
K02000001,United Kingdom,overview,02/04/2020,41.1
K02000001,United Kingdom,overview,01/04/2020,38.4
K02000001,United Kingdom,overview,31/03/2020,35
K02000001,United Kingdom,overview,30/03/2020,31.8
K02000001,United Kingdom,overview,29/03/2020,28.9
K02000001,United Kingdom,overview,28/03/2020,26.7
K02000001,United Kingdom,overview,27/03/2020,24.3
K02000001,United Kingdom,overview,26/03/2020,21.4
K02000001,United Kingdom,overview,25/03/2020,18.4
K02000001,United Kingdom,overview,24/03/2020,15.8
K02000001,United Kingdom,overview,23/03/2020,13.4
K02000001,United Kingdom,overview,22/03/2020,10.9
K02000001,United Kingdom,overview,21/03/2020,9.5
K02000001,United Kingdom,overview,20/03/2020,8.2
K02000001,United Kingdom,overview,19/03/2020,7.1
K02000001,United Kingdom,overview,18/03/2020,6.2
K02000001,United Kingdom,overview,17/03/2020,5.3
K02000001,United Kingdom,overview,16/03/2020,4.6
K02000001,United Kingdom,overview,15/03/2020,3.9
K02000001,United Kingdom,overview,14/03/2020,3.3
K02000001,United Kingdom,overview,13/03/2020,2.8
K02000001,United Kingdom,overview,12/03/2020,2.3
K02000001,United Kingdom,overview,11/03/2020,1.6
K02000001,United Kingdom,overview,10/03/2020,1.1
K02000001,United Kingdom,overview,09/03/2020,0.8
K02000001,United Kingdom,overview,08/03/2020,0.6
K02000001,United Kingdom,overview,07/03/2020,0.6
K02000001,United Kingdom,overview,06/03/2020,0.5
K02000001,United Kingdom,overview,05/03/2020,0.4
K02000001,United Kingdom,overview,04/03/2020,0.3
K02000001,United Kingdom,overview,03/03/2020,0.2
K02000001,United Kingdom,overview,02/03/2020,0.1
K02000001,United Kingdom,overview,01/03/2020,0.1
K02000001,United Kingdom,overview,29/02/2020,0.1
