testdate,location,new_cases_per_million,direction,date,people_vaccinated_per_hundred,type,Lat,Long
2021-07-05,Afghanistan,37.379999999999995,up,2021-07-05,1.87,red,33.93911,67.709953
2021-07-05,Albania,1.191142857142857,down,2021-07-05,19.95,amber,41.153332,20.168331
2021-07-05,Algeria,10.183714285714286,up,2021-06-06,5.7,amber,28.033886,1.659626
2021-07-05,Andorra,66.56114285714285,down,2021-06-28,53.99,amber,42.546245,1.601554
2021-07-05,Angola,2.9859999999999998,down,2021-07-05,2.9,red,-11.202692,17.873887
2021-07-05,Antigua and Barbuda,1.4588571428571429,down,2021-07-01,37.36,green,17.060816,-61.796428
2021-07-05,Argentina,408.1101428571428,down,2021-07-05,39.85,red,-38.416097,-63.616672
2021-07-05,Armenia,36.39842857142857,down,2021-06-27,1.97,amber,40.069099,45.038189
2021-07-05,Australia,1.518285714285714,down,2021-07-05,25.01,green,-25.274398,133.775136
2021-07-05,Austria,7.819857142857144,up,2021-07-05,54.34,amber,47.516231,14.550072
2021-07-05,Azerbaijan,8.524285714285714,down,2021-07-05,23.13,amber,40.143105,47.576927
2021-07-05,Bahamas,123.8767142857143,down,2021-07-02,15.19,amber,25.03428,-77.39628
2021-07-05,Bahrain,90.67185714285714,down,2021-07-05,63.23,red,25.930414,50.637772
2021-07-05,Bangladesh,50.40757142857143,up,2021-07-05,3.54,red,23.684994,90.356331
2021-07-05,Barbados,4.474142857142857,down,2021-07-02,33.24,green,13.193887,-59.543198
2021-07-05,Belarus,93.49128571428571,up,2021-06-13,7.4,amber,53.709807,27.953389
2021-07-05,Belgium,60.21399999999999,up,2021-07-04,63.83,amber,50.503887,4.469936
2021-07-05,Belize,72.57442857142857,down,2021-07-02,22.86,amber,17.189877,-88.49765
2021-07-05,Benin,0.3417142857142857,down,2021-06-28,0.3,amber,9.30769,2.315834
2021-07-05,Bhutan,19.810285714285715,down,2021-06-27,62.9,amber,27.514162,90.433601
2021-07-05,Bolivia,132.09942857142858,down,2021-07-02,16.51,red,-16.290154,-63.588653
2021-07-05,Bosnia and Herzegovina,2.4382857142857146,down,2021-06-25,9.2,amber,43.915886,17.679076
2021-07-05,Botswana,261.03528571428575,up,2021-06-28,6.76,red,-22.328474,24.684866
2021-07-05,Brazil,231.26914285714287,down,2021-07-05,37.14,red,-14.235004,-51.92528
2021-07-05,Brunei,0.9797142857142858,down,2021-07-04,17.54,green,4.535277,114.727669
2021-07-05,Bulgaria,10.382571428571428,down,2021-07-05,14.02,amber,42.733883,25.48583
2021-07-05,Burkina Faso,0.10257142857142856,up,2021-06-28,0.12,amber,12.238333,-1.561593
2021-07-05,Burundi,1.1772857142857143,down,,,red,-3.373056,29.918886
2021-07-05,Cambodia,56.86442857142857,up,2021-07-04,27.13,amber,12.565679,104.990963
2021-07-05,Cameroon,1.9965714285714287,down,2021-06-28,0.33,amber,7.369722,12.354722
2021-07-05,Canada,13.520285714285714,up,2021-07-05,68.73,amber,56.130366,-106.346771
2021-07-05,Cape Verde,88.90214285714285,down,2021-07-05,16.13,red,16.002082,-24.013197
2021-07-05,Central African Republic,0.1,zero,2021-06-30,1.63,amber,6.611111,20.939444
2021-07-05,Chad,0.008714285714285714,up,2021-06-28,0.06,amber,15.454166,18.732207
2021-07-05,Chile,160.4547142857143,up,2021-07-03,67.31,red,-35.675147,-71.542969
2021-07-05,China,0.012,up,2021-06-10,43.21,amber,35.86166,104.195397
2021-07-05,Colombia,529.6952857142858,down,2021-07-04,23.55,red,4.570868,-74.297333
2021-07-05,Comoros,7.556857142857143,down,2021-06-08,4.96,amber,-11.875001,43.872219
2021-07-05,Costa Rica,280.99657142857143,down,2021-06-28,31.98,red,9.748917,-83.753428
2021-07-05,Cote d'Ivoire,2.0415714285714284,down,2021-07-04,3.02,amber,7.539989,-5.54708
2021-07-05,Croatia,20.183,down,2021-07-04,36.74,amber,45.1,15.2
2021-07-05,Cuba,282.25528571428566,up,2021-07-03,25.33,amber,21.521757,-77.781167
2021-07-05,Cyprus,596.8434285714286,up,2021-07-05,52.84,amber,35.126413,33.429859
2021-07-05,Czechia,14.580571428571428,down,2021-07-05,47.86,amber,49.817492,15.472962
2021-07-05,Democratic Republic of Congo,3.4741428571428576,up,2021-06-24,0.05,red,-4.038333,21.758664
2021-07-05,Denmark,63.45971428571429,up,2021-07-04,59.03,amber,56.26392,9.501785
2021-07-05,Djibouti,0.722857142857143,up,2021-06-01,1.27,amber,11.825138,42.590275
2021-07-05,Dominica,1.9844285714285714,up,2021-07-02,28.32,green,15.414999,-61.370976
2021-07-05,Dominican Republic,77.44742857142856,down,2021-07-04,46.37,amber,18.735693,-70.162651
2021-07-05,Ecuador,55.91842857142858,down,2021-07-03,16.83,red,-1.831239,-78.183406
2021-07-05,Egypt,2.075857142857143,down,2021-07-04,3.48,red,26.820553,30.802498
2021-07-05,El Salvador,32.35442857142857,up,2021-07-02,26.64,amber,13.794185,-88.89653
2021-07-05,Equatorial Guinea,3.6655714285714285,down,2021-07-02,10.95,amber,1.650801,10.267895
2021-07-05,Eritrea,9.788571428571428,down,,,amber,15.179384,39.782334
2021-07-05,Estonia,24.123,down,2021-07-05,42.96,amber,58.595272,25.013607
2021-07-05,Ethiopia,0.6572857142857143,down,2021-06-08,1.65,red,9.145,40.489673
2021-07-05,Fiji,427.2438571428571,up,2021-06-29,31.12,amber,-16.578193,179.414413
2021-07-05,Finland,36.12228571428572,down,2021-07-04,60.87,amber,61.92411,25.748151
2021-07-05,France,34.85142857142857,down,2021-07-04,51.13,amber,46.227638,2.213749
2021-07-05,Gabon,7.8304285714285715,up,2021-06-30,1.73,amber,-0.803689,11.609444
2021-07-05,Gambia,2.7782857142857145,up,2021-06-30,1.29,amber,13.443182,-15.310139
2021-07-05,Georgia,215.2968571428571,down,2021-07-02,6.67,amber,42.315407,43.356892
2021-07-05,Germany,6.874714285714286,down,2021-07-04,56.06,amber,51.165691,10.451526
2021-07-05,Ghana,4.257285714285714,down,2021-07-05,2.78,amber,7.946527,-1.023194
2021-07-05,Greece,78.08228571428572,up,2021-07-05,48.3,amber,39.074208,21.824312
2021-07-05,Grenada,0.1,zero,2021-07-02,17.8,green,12.262776,-61.604171
2021-07-05,Guatemala,84.18085714285715,down,2021-07-04,4.5,amber,15.783471,-90.230759
2021-07-05,Guinea,1.3812857142857144,up,2021-06-30,3.06,amber,9.945587,-9.696645
2021-07-05,Guinea-Bissau,2.540571428571429,down,2021-07-05,1.11,amber,11.803749,-15.180413
2021-07-05,Guyana,90.44828571428572,down,2021-07-02,29.78,red,4.860416,-58.93018
2021-07-05,Haiti,9.271142857142857,down,,,amber,18.971187,-72.285215
2021-07-05,Honduras,125.03571428571429,down,2021-07-03,8.54,amber,15.199999,-86.241905
2021-07-05,Hong Kong,0.43814285714285717,down,2021-07-05,32.1,amber,22.396428,114.109497
2021-07-05,Hungary,3.2535714285714286,down,2021-07-05,57.07,amber,47.162494,19.503304
2021-07-05,Iceland,0.1,zero,2021-07-02,76.79,green,64.963051,-19.020835
2021-07-05,India,31.37,down,2021-07-05,20.78,red,20.593684,78.96288
2021-07-05,Indonesia,92.87828571428572,up,2021-07-05,11.81,amber,-0.789275,113.921327
2021-07-05,Iran,154.35142857142858,up,2021-06-29,4.85,amber,32.427908,53.688046
2021-07-05,Iraq,168.5587142857143,up,2021-06-20,1.36,amber,33.223191,43.679291
2021-07-05,Ireland,88.29857142857142,up,2021-07-04,53.75,green,53.41291,-8.24389
2021-07-05,Israel,37.449285714285715,up,2021-07-05,65.43,green,31.046051,34.851612
2021-07-05,Italy,12.619571428571428,down,2021-07-05,56.93,amber,41.87194,12.56738
2021-07-05,Jamaica,16.161714285714286,up,2021-06-25,5.84,amber,18.109581,-77.297508
2021-07-05,Japan,12.578142857142856,down,2021-07-05,25.74,amber,36.204824,138.252924
2021-07-05,Jordan,47.422285714285714,up,2021-07-05,25.18,amber,30.585164,36.238414
2021-07-05,Kazakhstan,144.13742857142856,up,2021-07-05,20.08,amber,48.019573,66.923684
2021-07-05,Kenya,8.418999999999999,down,2021-07-04,1.89,red,-0.023559,37.906193
2021-07-05,Kiribati,0.1,zero,,,amber,-3.370417,-168.734039
2021-07-05,Kosovo,34.66528571428571,down,2021-06-30,7.11,amber,42.602636,20.902977
2021-07-05,Kuwait,418.6802857142857,up,2021-07-03,34.0,amber,29.31166,47.481766
2021-07-05,Kyrgyzstan,221.6804285714286,down,2021-06-23,1.53,amber,41.20438,74.766098
2021-07-05,Laos,3.7307142857142854,up,2021-07-04,12.96,amber,19.85627,102.495496
2021-07-05,Latvia,31.279999999999998,down,2021-07-05,35.76,amber,56.879635,24.603189
2021-07-05,Lebanon,24.090571428571426,down,2021-07-05,13.72,amber,33.854721,35.862285
2021-07-05,Lesotho,21.93942857142857,down,2021-07-05,1.71,red,-29.609988,28.233608
2021-07-05,Liberia,31.747999999999998,up,2021-07-05,1.68,amber,6.428055,-9.429499
2021-07-05,Libya,63.16142857142857,up,2021-06-29,5.52,amber,26.3351,17.228331
2021-07-05,Liechtenstein,41.205,up,2021-06-30,50.48,amber,47.166,9.555373
2021-07-05,Lithuania,11.38742857142857,down,2021-07-05,46.18,amber,55.169438,23.881275
2021-07-05,Luxembourg,179.6052857142857,up,2021-07-05,56.06,amber,49.815273,6.129583
2021-07-05,Madagascar,0.6964285714285714,up,2021-06-28,0.71,amber,-18.766947,46.869107
2021-07-05,Malawi,10.066714285714285,down,2021-06-28,2.01,red,-13.254308,34.301525
2021-07-05,Malaysia,202.03314285714285,down,2021-07-05,20.35,amber,4.210484,101.975766
2021-07-05,Maldives,263.7561428571429,down,2021-07-03,58.7,red,3.202778,73.22068
2021-07-05,Mali,0.22585714285714284,up,2021-07-05,0.7,amber,17.570692,-3.996166
2021-07-05,Malta,16.824428571428573,up,2021-07-04,82.21,green,35.937496,14.375416
2021-07-05,Marshall Islands,0.1,zero,,,amber,7.131474,171.184478
2021-07-05,Mauritania,14.071571428571428,down,2021-06-30,3.27,amber,21.00789,-10.940835
2021-07-05,Mauritius,2.8082857142857143,down,2021-06-24,38.22,amber,-20.348404,57.552152
2021-07-05,Mexico,38.13714285714286,down,2021-07-04,25.27,amber,23.634501,-102.552784
2021-07-05,Micronesia (country),0.1,zero,,,,7.425554,150.550812
2021-07-05,Moldova,14.909,down,2021-07-05,11.5,amber,47.411631,28.369885
2021-07-05,Monaco,50.963428571428565,down,2021-07-01,51.42,amber,43.750298,7.412841
2021-07-05,Mongolia,666.9849999999999,down,2021-07-04,63.02,amber,46.862496,103.846656
2021-07-05,Montenegro,30.479142857142858,down,2021-07-05,24.42,amber,42.708678,19.37439
2021-07-05,Morocco,18.97257142857143,down,2021-07-05,27.42,amber,31.791702,-7.09262
2021-07-05,Mozambique,24.98328571428571,up,2021-07-05,1.13,red,-18.665695,35.529562
2021-07-05,Myanmar,36.72914285714286,up,2021-06-05,3.38,amber,21.913965,95.956223
2021-07-05,Namibia,586.8521428571429,up,2021-07-03,4.89,red,-22.95764,18.49041
2021-07-05,Nepal,54.81028571428571,down,2021-07-05,8.96,red,28.394857,84.124008
2021-07-05,Netherlands,57.126714285714286,up,2021-07-04,60.21,amber,52.132633,5.291266
2021-07-05,New Zealand,0.5035714285714286,up,2021-06-29,14.62,green,-40.900557,174.885971
2021-07-05,Nicaragua,5.563714285714285,down,2021-05-21,2.53,amber,12.865416,-85.207229
2021-07-05,Niger,0.2064285714285714,up,2021-07-05,1.5,amber,17.607789,8.081666
2021-07-05,Nigeria,0.2612857142857143,up,2021-07-05,1.2,amber,9.081999,8.675277
2021-07-05,Norway,36.681,down,2021-07-04,51.97,amber,60.472024,8.468946
2021-07-05,Oman,347.8397142857143,up,2021-06-28,16.73,red,21.512583,55.923255
2021-07-05,Pakistan,5.2371428571428575,up,2021-06-16,4.21,red,30.375321,69.345116
2021-07-05,Palestine,20.10657142857143,down,2021-07-04,10.12,,31.952162,35.233154
2021-07-05,Panama,244.87314285714288,down,2021-07-05,24.24,red,8.537981,-80.782127
2021-07-05,Papua New Guinea,0.1,zero,2021-06-25,0.56,amber,-6.314993,143.95555
2021-07-05,Paraguay,202.693,down,2021-06-30,7.39,red,-23.442503,-58.443832
2021-07-05,Peru,80.42342857142856,up,2021-07-04,14.23,red,-9.189967,-75.015152
2021-07-05,Philippines,49.74557142857143,up,2021-07-04,8.07,red,12.879721,121.774017
2021-07-05,Poland,2.3365714285714287,down,2021-07-05,45.31,amber,51.919438,19.145136
2021-07-05,Portugal,211.8612857142857,down,2021-07-05,59.94,amber,39.399872,-8.224454
2021-07-05,Qatar,42.49442857142857,down,2021-07-05,61.74,red,25.354826,51.183884
2021-07-05,Romania,2.3167142857142857,down,2021-07-04,24.72,amber,45.943161,24.96676
2021-07-05,Russia,155.99957142857141,up,2021-07-05,17.22,amber,61.52401,105.318756
2021-07-05,Rwanda,66.30971428571429,up,2021-06-06,2.71,red,-1.940278,29.873888
2021-07-05,Saint Kitts and Nevis,142.3414285714286,down,2021-06-30,43.12,,17.357822,-62.782998
2021-07-05,Saint Lucia,32.67457142857143,up,2021-07-05,16.88,,13.909444,-60.978893
2021-07-05,Saint Vincent and the Grenadines,24.46485714285714,up,2021-05-19,16.6,,12.984305,-61.287228
2021-07-05,Samoa,0.1,zero,2021-06-29,24.97,amber,-13.759029,-172.104629
2021-07-05,San Marino,4.2092857142857145,up,2021-07-02,66.25,amber,43.94236,12.457777
2021-07-05,Saudi Arabia,38.954,up,2021-07-05,48.46,amber,23.885942,45.079162
2021-07-05,Senegal,8.787857142857144,up,2021-07-05,3.28,amber,14.497401,-14.452362
2021-07-05,Serbia,12.554714285714285,up,2021-06-20,39.59,amber,44.016521,21.005859
2021-07-05,Seychelles,1053.1974285714284,up,2021-06-30,72.11,red,-4.679574,55.491977
2021-07-05,Sierra Leone,6.590428571428572,down,2021-06-20,1.03,amber,8.460555,-11.779889
2021-07-05,Singapore,1.8801428571428571,down,2021-07-04,61.68,green,1.352083,103.819836
2021-07-05,Slovakia,4.029428571428571,down,2021-07-05,38.0,amber,48.669026,19.699024
2021-07-05,Slovenia,12.162714285714285,down,2021-07-05,39.96,amber,46.151241,14.995463
2021-07-05,Solomon Islands,0.1,zero,2021-06-29,2.63,amber,-9.64571,160.156194
2021-07-05,Somalia,0.3955714285714286,up,2021-06-29,0.87,red,5.152149,46.199616
2021-07-05,South Africa,323.46500000000003,down,2021-07-04,5.59,red,-30.559482,22.937506
2021-07-05,South Korea,14.974285714285713,down,2021-07-05,30.04,amber,35.907757,127.766922
2021-07-05,South Sudan,0.7018571428571428,down,2021-07-05,0.4,amber,6.876991,31.306978
2021-07-05,Spain,225.59357142857144,up,2021-07-04,56.69,amber,40.463667,-3.74922
2021-07-05,Sri Lanka,73.32557142857142,down,2021-07-05,13.88,red,7.873054,80.771797
2021-07-05,Sudan,0.29000000000000004,up,2021-06-29,1.26,red,12.862807,30.217636
2021-07-05,Suriname,269.08957142857145,down,2021-07-05,28.11,red,3.919305,-56.027783
2021-07-05,Sweden,28.064285714285717,down,2021-07-02,49.5,amber,60.128161,18.643501
2021-07-05,Switzerland,17.117142857142856,up,2021-06-30,50.74,amber,46.818188,8.227512
2021-07-05,Syria,1.9918571428571425,down,2021-06-21,0.58,amber,34.802075,38.996815
2021-07-05,Taiwan,2.2012857142857145,down,2021-07-05,10.84,amber,23.69781,120.960515
2021-07-05,Tajikistan,2.4414285714285713,up,2021-06-27,2.16,amber,38.861034,71.276093
2021-07-05,Tanzania,0.1,zero,,,red,-6.369028,34.888822
2021-07-05,Thailand,80.59742857142858,up,2021-07-04,11.18,amber,15.870032,100.992541
2021-07-05,Timor,49.51728571428572,down,2021-06-29,15.4,amber,-8.874217,125.727539
2021-07-05,Togo,4.0724285714285715,down,2021-06-10,3.27,amber,8.619543,0.824782
2021-07-05,Trinidad and Tobago,123.71857142857142,down,2021-07-05,15.72,red,10.691803,-61.222503
2021-07-05,Tunisia,462.1037142857143,down,2021-07-03,11.57,amber,33.886917,9.537499
2021-07-05,Turkey,44.13814285714285,down,2021-07-05,43.18,red,38.963745,35.243322
2021-07-05,Uganda,15.700142857142856,up,2021-07-01,2.17,amber,1.373333,32.290275
2021-07-05,Ukraine,21.346857142857143,down,2021-07-05,4.8,amber,48.379433,31.16558
2021-07-05,United Arab Emirates,174.38257142857142,down,2021-07-05,74.0,red,23.424076,53.847818
2021-07-05,United Kingdom,370.17314285714286,up,2021-07-04,66.81,green,55.378051,-3.435973
2021-07-05,United States,35.64628571428572,down,2021-07-04,54.54,amber,37.09024,-95.712891
2021-07-05,Uruguay,262.00757142857145,down,2021-07-05,66.48,red,-32.522779,-55.765835
2021-07-05,Uzbekistan,14.426857142857143,down,2021-06-29,6.2,amber,41.377491,64.585262
2021-07-05,Vanuatu,0.1,zero,2021-06-21,2.43,amber,-15.376706,166.959158
2021-07-05,Vatican,0.1,zero,,,,41.902916,12.453389
2021-07-05,Venezuela,45.365142857142864,down,2021-06-25,4.3,red,6.42375,-66.58973
2021-07-05,Vietnam,7.596428571428571,up,2021-07-03,3.75,amber,14.058324,108.277199
2021-07-05,Yemen,0.09599999999999999,down,2021-06-27,0.9,amber,15.552727,48.516388
2021-07-05,Zambia,123.182,down,2021-07-04,0.77,red,-13.133897,27.849332
2021-07-05,Zimbabwe,83.90985714285713,down,2021-07-04,5.34,red,-19.015438,29.154857
